Paper_ID,字段,字段中文,定义,cxt值,hyh值,原始证据,cxt补充证据,修正判定,理由
72,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,YES,NO,实验评估使用四种主流大语言模型对所提出的框架进行了基准测试：Llama-4-scout-17b、Mistral-Saba-24b、Qwen-QWQ-32b 和 OpenAI GPT-4.1-Nano。……模拟的客户档案涵盖10种主要精神障碍类别：(1) 适应障碍，(2) 焦虑障碍，(3) 双相障碍，,,YES,在不同LLM和不同障碍类别下测试，进行了鲁棒性测试。
72,LLM_Judge_Validated,LLM裁判验证,LLM裁判是否经过与人类判断的对比验证（YES/NO）,YES,NO,自动评估偏差。评分标准依赖于另一大型语言模型（LLM），该模型可能与受测模型共享错误模式或偏见。……需要进一步验证，包括专家人工审查和对诊断推理质量的有针对性评估。,,NO,论文仅讨论LLM评估偏差和未来验证需求，未实际验证LLM裁判与人类判断的一致性。
75,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,DYNAMIC,PATTERN-LEVEL,"对于每个转录文本，我们计算了表现出强技能使用（� = �长处/�总数）或需要改进（� = �改进/�总数）的话语比例……为检验前后变化（�0, �1），我们采用了配对�检验和Cohen's �效应量。为比较P组与P+F组（�� 1 − �� 0 vs.",,DYNAMIC,采用配对检验分析干预前后的变化，属于动态分析。
75,Emotional Plausibility,情绪合理性,评估中是否考察情绪反应是否真实/恰当（YES/NO）,NO,YES,我们使用多个7点李克特量表条目测量了参与者在每次聊天后（干预前、实践干预、干预后）对每个AI患者的感知。真实性。参与者对“AI患者在其角色中是真实的”进行评分。,,NO,评估了角色真实性，未专门评估情绪反应的真实性。
75,Eval_LLM_Judge,LLM裁判评估,是否使用大模型进行打分、比较、排序（YES/NO）,NO,YES,我们开发了基于LLM的二元分类器，用于标记转录文本中的技能使用。例如，一个分类器判断哪些话语展示了强烈的问题使用。为了微调和评估这些分类器，我们将先前发表的一个专家注释的反馈数据集[18]转换成了16-cl。,,YES,使用LLM作为分类器进行技能标注，属于LLM裁判评估。
75,Reliability_Reported,信度系数报告,"是否报告了标准化评估者间信度系数（如 Cohen's kappa, ICC）: Yes / No / N/A。注意：仅报告百分比一致不算",YES,NO,虽然我们最初探索了诸如Cohen's kappa之类的指标，但严重的类别不平衡使得它们不那么相关。,,NO,虽探索过Cohen's kappa但未报告，因类别不平衡未使用。
75,Uses_Dynamic_State,是否使用动态状态建模,是否使用动态状态建模（YES/NO）,YES,NO,患者模拟并未根据共情陈述调整其行为……模拟患者被指示抵制建议，因此咨询师减少了建议的使用，而患者模拟并未根据共情陈述调整其行为……一个自然的后续问题是,,NO,患者模拟未根据交互调整行为，无动态状态建模。
77,Coding Options,编码者一致性,是否明确报告了评估者之间的一致性: Yes / No / N/A,YES,NO,参与者使用李克特量表从1到5进行评分，其中1表示非常不同意，5表示非常同意。,,NO,仅描述评分方式，未报告评估者间一致性。
77,Has_Failure_Analysis,失败案例分析,是否系统性地分析了失败案例或错误模式（YES/NO）,YES,NO,参与者使用1到5的李克特量表进行评分，其中1代表非常不同意，5代表非常同意。,,NO,论文未分析失败案例或错误模式。
77,Interaction_Level,交互层级,交互层级: Single-turn（单轮）/ Short Multi-turn（2-5轮简短交流）/ Extended Dialogue（6+轮较长对话）/ Longitudinal（跨多个会话/较长时间）,SHORT MULTI-TURN,EXTENDED DIALOGUE,本研究的另一个局限是转录文本的简短特性（时长约5分钟），以及其在问题探索过程中仅关注积极倾听的有限聚焦。,,SHORT MULTI-TURN,转录文本时长约5分钟，属于简短多轮对话。
77,Theory_Grounding,理论支撑度,理论支撑度: Strong（明确使用公认理论来定义或测量）/ Weak（提及了概念但未在评估中实际操作化）/ None（没有真正的理论支撑）,STRONG,WEAK,"我们选取了来自三本不同的CBT书籍中的四段治疗记录作为我们的基础（Beck, 2011; Ellis, 1995; Sommers-Flanagan & Sommers-Flanagan, 2018）。……为了评估沟通技巧，我们使用了以下问题：“治疗师的沟通清晰准确”以及“治疗师展示出”",,WEAK,虽提及CBT理论作为基础，但评估问题未明确源于理论。
77,Theory_Operationalized,理论操作化程度,理论操作化程度: Strong（评估标准明确源于理论）/ Partial（理论被提及并部分操作化）/ Mentioned（理论仅被提及，未操作化）/ None（没有使用任何理论）,PARTIAL,MENTIONED,"在各种治疗方法中，认知行为疗法（CBT）是这些聊天机器人设计的关键要素（Rathnayaka 等，2022）。……我们从三本关于 CBT 的书中选取了四份治疗记录作为基础（Beck, 2011; Ellis, 1995; Sommers-Fla",,MENTIONED,论文仅提及CBT理论，但未将评估标准明确操作化。
80,Emotional Plausibility,情绪合理性,评估中是否考察情绪反应是否真实/恰当（YES/NO）,YES,NO,我们基于先前评估标准化病人（即受过训练的人类演员）角色扮演病例能力的研究（Himmelbauer 等，2018），设定了评估标准，据此对咨询师创建的AI病人进行了评估。...咨询师从6个维度（表3）对两位AI病人进行了评分。,,NO,原始证据未明确提及情绪合理性评估，仅在维度列表中可能包含但未说明。
80,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,我们开发了Roleplay-doh，一种新颖的人-大语言模型协作流程，该流程从领域专家处获取定性反馈，并将其转化为一组原则或自然语言规则，用以指导由大语言模型提示的角色扮演。……无法保证所有与大语言模型的交互,,NO,原文仅声明无法保证有害输出，并未实际评估安全性。
80,Uses_Dynamic_State,是否使用动态状态建模,是否使用动态状态建模（YES/NO）,YES,NO,专家定制一套原则或以自然语言编写的规则，用以控制其行为……我们向GPT-4提供提示，基于患者描述、原则列表以及对话历史，在每轮对话中生成患者的初始回应。,,NO,对话历史作为上下文是LLM基本能力，行为原则为静态规则。系统未维护可更新的患者内部状态 [人工确认]
80,Uses_Standard_Metrics,标准指标使用,是否使用了标准/公认的评估指标（YES/NO）,YES,NO,我们基于先前评估标准化病人（受过训练的人类演员）角色扮演案例能力的相关工作（Himmelbauer等人，2018）所启发的标准，来评估由咨询师创建的AI患者。,,NO,只是参考先前工作设定了自己的标准，非公认标准指标。
81,Has_Failure_Analysis,失败案例分析,是否系统性地分析了失败案例或错误模式（YES/NO）,YES,NO,我们对训练效果的评估全部来自参与者在使用PATIENT-Ψ-TRAINER进行两轮练习后所感知到的改进。客观技能提升的测量可以采用纵向随机对照试验（RCTs）的形式。,,NO,未系统性分析失败案例，仅依赖主观感知改进。
81,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,YES,NO,"在本工作中，我们使用GPT-4评估我们的框架。由于我们并不依赖GPT-4的特定属性，因此我们认为该框架可应用于任何强大的开源大语言模型，例如Llama 3 (Dubey et al., 2024) 和Gemma (Team et al., 2024)。……我们衡量训练有效性的指标是al",,NO,仅声称可应用于其他模型，未实际进行鲁棒性测试。
81,Has_Rubric,评分标准,是否提供了明确的评分标准/评分指引（YES/NO）,NO,YES,每个测量指标采用1至5分的5点李克特量表，其中5分表示“非常同意”或“极为准确”，1分表示“非常不同意”或“完全不准确”。……对于两两比较，选项为：“A明显优于B”、“A略优于B”、“大致相同”、“B,,YES,明确使用了5点李克特量表及标签，提供了评分标准。
81,Interaction_Level,交互层级,交互层级: Single-turn（单轮）/ Short Multi-turn（2-5轮简短交流）/ Extended Dialogue（6+轮较长对话）/ Longitudinal（跨多个会话/较长时间）,EXTENDED DIALOGUE,SHORT MULTI-TURN,每次与模拟患者互动的会话大约需要 10 分钟，包括与 LLM 的对话以及完成认知模型。,,EXTENDED DIALOGUE,每次会话约10分钟，通常涉及多轮对话，且cxt提供了补充证据倾向此值。
83,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,DYNAMIC,STATIC,最后，我们修改了积极与消极情感量表（PANAS）（Watson等，1988），以从来访者角度评估咨询的有效性，测量咨询前后来访者积极/消极情绪的变化。……我们利用初诊登记表来推断,,STATIC,PANAS前后测只对比一次咨询前/后状态，是静态比较，不是轮次间变化分析 (校验修正)
83,Coding Options,编码者一致性,是否明确报告了评估者之间的一致性: Yes / No / N/A,YES,NO,对于每项评估，我们邀请了三位人工标注员根据四项指定标准对100个样本进行评估。我们为每位标注员每评估一个样本补偿0.30美元。,,NO,仅提及三位标注员，未报告Cohen's Kappa等标准化一致性指标。
83,Emotional Plausibility,情绪合理性,评估中是否考察情绪反应是否真实/恰当（YES/NO）,YES,NO,我们从每个数据集中随机抽取100个对话，并依据四项标准对其进行评估：（1）有用性，（2）连贯性，（3）共情能力，以及（4）引导性。……评估一般咨询技能的指标如下：理解力、人际效能、协作能力……指标,,NO,评估标准包括共情能力，但未明确评估情绪反应真实性。
83,Eval_Automatic,自动指标评估,是否使用算法/数学公式自动计算的指标（YES/NO）,YES,NO,"为评估起见，我们采用G-Eval（Liu et al., 2023b）并依据评分细则对李克特量表各维度进行评定。……CTRS被公认为衡量咨询有效性的黄金标准（Aarons et al., 2012）。……我们修改了积极与消极情感量表（PANAS）（Watson et al.",,NO,G-Eval是LLM打分，PANAS是人工问卷，CTRS是专家打分，都不是算法自动计算 (校验修正)
83,Fidelity,保真度,评估中是否考察是否符合预设角色/目标（YES/NO）,YES,NO,我们从每个数据集中随机抽取100个对话，并根据四个标准对其进行评估：（1）有用性，（2）连贯性，（3）共情能力，以及（4）引导性。,,NO,评估标准为有用性、连贯性等，未涉及角色保真度或目标对齐。
83,Has_Failure_Analysis,失败案例分析,是否系统性地分析了失败案例或错误模式（YES/NO）,NO,YES,AI咨询师在CBT技术选择上存在局限性……GPT-4o表现出对CBT技术的偏向性选择，其中“循证提问”在近半数案例中被使用……AI咨询师倾向于建议直接重构来访者的思维……AI来访者则倾向于表达t……,,YES,分析了AI咨询师在CBT技术选择上的局限性，属于失败案例。
83,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,YES,NO,我们介绍CACTUS，这是一个多轮对话数据集，采用认知行为疗法（CBT）的目标导向和结构化方法模拟真实生活互动。……通过（1）设计具有多样化、特定人格特征的来访者，以及（2）让咨询师……我们创建了一个多样化和真实的数据集。,,NO,仅设计多样化人格，未进行多模型或对抗测试等鲁棒性检验。
84,Coding Options,编码者一致性,是否明确报告了评估者之间的一致性: Yes / No / N/A,YES,NO,每个对话语境由至少3名参与者进行评估。以固定顺序呈现模型可能因引入潜在顺序效应而损害可靠性（van der Lee等，2021）。为尽量减小这一影响，我们采用了平衡拉丁方抵消法，使每个模型出现次数相等。,,NO,未报告评估者间一致性系数，仅提及多评估者和平衡设计。
84,Consistency,一致性,评估中是否考察跨轮次行为是否稳定（YES/NO）,YES,NO,我们评估了基于前5轮对话上下文生成的单个聊天机器人反思。更长上下文或对话记忆的整合能更精准地指示大型语言模型在多大程度上能够增加变化，使咨询环节更具吸引力，从而使用户愿意...,,NO,未考察跨轮次行为稳定性，仅讨论上下文长度的影响。
84,Dataset_Available,数据集公开性,数据集是否公开可用（YES/NO）,YES,NO,目前这些数据未公开发布。,,NO,明确声明数据未公开发布。
84,Eval_Human_Experts,领域专家评估,领域专家（治疗师、临床医生、受过训练的标注员）是否参与评估（YES/NO）,YES,NO,根据先前一项研究表明，非专家可以提供与MI专家一样可靠的反思评估（Wu等，2023），我们采用了非专家作为我们评估研究的参与者。,,NO,使用非专家评估，而非领域专家。
84,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,NO,YES,我们使用GPT-4、BLOOM和FLAN-T5模型，基于通过旨在支持戒烟和性健康的聊天机器人收集的真实对话数据，生成动机性访谈式反思。,,YES,使用了多个模型（GPT-4、BLOOM、FLAN-T5）和真实对话数据，进行了不同条件测试。
84,Reliability_Reported,信度系数报告,"是否报告了标准化评估者间信度系数（如 Cohen's kappa, ICC）: Yes / No / N/A。注意：仅报告百分比一致不算",YES,NO,"单因素方差分析显示，所有四个标准均具有显著效应（适当性：F(3, 184) = 29.956, p < 0.001；具体性：F(3, 184) = 46.02, p < 0.001；自然度：F(3, 184) = 14.874, p < 0.001；参与度：F(3, 184) = 29.926, p < 0.001）。针对多重比较的Tukey HSD事后检验表明……",,NO,报告了ANOVA和事后检验，但未报告Kappa或ICC等标准化信度系数。
84,Sim_Behavior_Realistic,模拟行为真实性,模拟行为是否真实可信（YES/NO）,YES,NO,我们定义了自然性标准，即回应是否听起来像是由人所说。……BLOOM和FLAN-T5模型经常生成重复序列，我们在后续处理步骤中自动将其缩减为最简形式。,,YES,定义了自然性标准并评估了模型输出的真实感，涉及模拟行为真实性。
84,Theory_Grounding,理论支撑度,理论支撑度: Strong（明确使用公认理论来定义或测量）/ Weak（提及了概念但未在评估中实际操作化）/ None（没有真正的理论支撑）,STRONG,WEAK,"动机性访谈（MI）是一种旨在促进行为改变的咨询风格，咨询师通过处理并解决个体的矛盾心理，引导他们激发内在动机（Miller and Rollnick, 2012）。MI咨询师运用的一项关键技术是反思性...",,STRONG,明确基于动机访谈（MI）理论，并引用了经典文献。
84,Theory_Operationalized,理论操作化程度,理论操作化程度: Strong（评估标准明确源于理论）/ Partial（理论被提及并部分操作化）/ Mentioned（理论仅被提及，未操作化）/ None（没有使用任何理论）,STRONG,PARTIAL,"咨询研究表明，参与度与积极治疗结果和改善之间存在直接关系（Boardman et al., 2006）。",,PARTIAL,提及理论（咨询研究）但评估标准未完全源于该理论，仅部分操作化。
84,Uses_Standard_Metrics,标准指标使用,是否使用了标准/公认的评估指标（YES/NO）,YES,NO,"我们采用了一种7点对称李克特量表，从非常不同意（-3）到非常同意（3）（Amidei et al., 2019）。",,YES,使用了7点李克特量表这一公认评估指标，并引用了相关文献。
86,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,STATIC,PATTERN-LEVEL,我们最终评估了不同方法下模拟客户与真实客户之间动作分布的KL散度。,,PATTERN-LEVEL,评估了动作分布的KL散度，属于统计频率模式，而非动态变化。
86,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,BEHAVIORAL STATE MODEL/DYNAMIC TRAITS,BEHAVIORAL STATE MODEL,与先前的方法不同，我们的框架明确建模了客户画像的四个方面，即动机、信念、偏好的改变计划以及接受性。,,BEHAVIORAL STATE MODEL,建模了动机、信念、偏好、接受性等方面，属于行为状态模型，未明确体现动态特质。
86,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,我们邀请了四位合著者担任标注员，他们均为心理学专家且具备动机性访谈（MI）咨询的丰富经验。……具体而言，我们采用GPT-4以少样本方式执行蕴含关系评估。,,NO,未提及有害或偏见输出的评估，仅涉及专家评估MI能力。
87,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,STATIC,PATTERN-LEVEL,我们报告以下行为计数：1）反思问题比（R/Q），定义为咨询师代理的反思次数除以咨询师提出的问题数量；2）开放式问题比例（%OQ），定义为咨询师提出的开放式问题数量除以,,PATTERN-LEVEL,报告了反思问题比、开放式问题比例等行为计数，属于频率模式统计。
87,Emotional Plausibility,情绪合理性,评估中是否考察情绪反应是否真实/恰当（YES/NO）,NO,YES,"共情，衡量咨询师尝试理解来访者视角与体验的程度，本质上即试图""代入""来访者的感受或思维。",,YES,评估了共情维度，涉及情绪反应的真实性与恰当性。
87,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,NO,YES,对于咨询师角色，我们分别采用gpt-4o-2024-08-06和Llama-3.1-70B两种大语言模型作为骨干网络进行实验。,,YES,使用了两个不同的大语言模型进行实验，属于不同模型条件下的鲁棒性测试。
87,Human Learning / Outcomes,人类学习/成效,评估中是否考察人类学习或行为改变（YES/NO）,NO,YES,成功改变谈话是动机性访谈（MI）的主要目标。因此，我们引入成功率，定义为咨询代理成功引发改变谈话的来访者比例，从而在会谈结束时提升其改变动机。,,NO,评估的是代理的成功率，而非人类学习或行为改变。
87,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,DYNAMIC TRAITS,BEHAVIORAL STATE MODEL,"为界定来访者的状态（Prochaska and Velicer, 1997; Hashemzadeh et al., 2019），我们采用健康行为改变的跨理论模型（Prochaska and DiClemente, 2005; Prochaska et al., 2008），该模型定义了五种可能的状态：前意向阶段、意向阶段、准备阶段、行动阶段以及",,BEHAVIORAL STATE MODEL,使用跨理论模型定义了五种离散状态，属于行为状态模型。
89,Eval_Lay_Users,普通用户评估,非专家/普通用户是否参与评估（YES/NO）,YES,NO,我们的评估团队由四名心理学专业高年级研究生和一名经验丰富的心理治疗师组成，以确保评估的准确性和专业性。,,NO,评估团队由心理学专业研究生和治疗师组成，是专家而非普通用户。
89,Has_Failure_Analysis,失败案例分析,是否系统性地分析了失败案例或错误模式（YES/NO）,YES,NO,我们的框架仅构建具有特定咨询风格的心理咨询师数字孪生，这满足了寻求特定咨询风格的来访者的个性化需求，但无法保证解决其心理问题或满足所有来访者的咨询需求。,,NO,仅提到框架局限性，未系统分析具体失败案例或错误模式。
89,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,NO,YES,为验证我们的合成多轮对话数据集PsyDTCorpus整合了语言风格、治疗技术和来访者人格，我们设计了三个消融人工评估。……我们综合这16组对话，每次排除以下元素之一：语言风,,YES,进行了消融实验，属于不同条件下的鲁棒性测试。
89,LLM_Judge_Validated,LLM裁判验证,LLM裁判是否经过与人类判断的对比验证（YES/NO）,YES,NO,"鉴于利用大语言模型评估文本生成质量的潜力（Chiang and Lee, 2023），我们尝试自动评估相似度……我们采用两种最先进的大语言模型作为评估器：GPT-4o和Claude 3.5。我们将两个大语言模型给出的相似度得分平均值作为最终结果。",,NO,使用了两种LLM评估，但未与人类判断进行对比验证。
89,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,COGNITIVE MODEL/EXPERT PRINCIPLES,SURFACE PERSONA,"我们采用GPT-4根据用户问题模拟其大五人格特质（Costa and McCrae, 1999）。",,SURFACE PERSONA,仅用GPT模拟大五人格特质，没有深入认知过程或动态特质。
91,Has_Robustness_Testing,鲁棒性测试,是否在不同条件下（多模型、多数据集、对抗输入等）进行了鲁棒性测试（YES/NO）,YES,NO,我们的实验表明，在微调、提示工程和检索增强生成（RAG）方法之间，性能存在显著差异。然而，本研究未在扰动或对抗性输入条件下进行鲁棒性测试。,,NO,原文明确声明未进行扰动或对抗性输入下的鲁棒性测试。
91,Has_Rubric,评分标准,是否提供了明确的评分标准/评分指引（YES/NO）,YES,NO,分类评估使用F1分数、精确率和召回率作为主要指标。,,NO,仅使用F1等指标，未提供明确的评分标准或打分指引。
91,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,分类评估使用F1分数、精确率和召回率作为主要指标。,,NO,仅涉及分类指标，未评估有害或偏见输出。
92,Coding Options,编码者一致性,是否明确报告了评估者之间的一致性: Yes / No / N/A,YES,NO,每位参与者均在3个随机分配的对话情境中，对反思内容进行了独立评估与排序评估。最终，每个情境至少由3名不同的参与者进行了评估。,,NO,描述了评估过程但未报告评估者间一致性。
92,Reliability_Reported,信度系数报告,"是否报告了标准化评估者间信度系数（如 Cohen's kappa, ICC）: Yes / No / N/A。注意：仅报告百分比一致不算",YES,NO,每位参与者在3个随机分配的对话情境中，对反思进行了独立评估和排序评估。最终，每个情境至少由3名不同的参与者进行了评估。,,NO,未报告任何标准化信度系数（如Cohen's kappa或ICC）。
92,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,NO,YES,适当性衡量的是，如果在给定对话之后将反思实际说出给客户，该反思是否（在情感上和道德上）适当。,,YES,评估了反思在情感和道德上的适当性，涉及安全性。
92,Theory_Grounding,理论支撑度,理论支撑度: Strong（明确使用公认理论来定义或测量）/ Weak（提及了概念但未在评估中实际操作化）/ None（没有真正的理论支撑）,STRONG,WEAK,选择这些标准时，考虑了它们与治疗性咨询的相关性和重要性，以及它们在自然语言生成领域的普遍使用。例如，我们关注适当性，因为不适当的反映可能会阻碍来访者朝着行为改变目标前进（Miller and Rolln）。,,WEAK,引用了理论但未详细操作化评估标准。
92,Utility,实用性,评估中是否考察对任务是否有用/有效（YES/NO）,NO,YES,参与旨在考察反思是否能提供进一步对话的机会并提高参与度。,,YES,评估考察了反思是否能提高参与度，即有用性。
93,Emotional Plausibility,情绪合理性,评估中是否考察情绪反应是否真实/恰当（YES/NO）,YES,NO,INT（交互式叙事治疗师）通过规划治疗阶段、引导反思层次以及生成上下文恰当的专业式回应，模拟专家叙事治疗师。,,NO,原始证据未提及评估情绪反应的真实性。
93,Has_Failure_Analysis,失败案例分析,是否系统性地分析了失败案例或错误模式（YES/NO）,YES,NO,INT（交互式叙事治疗师）通过规划治疗阶段、引导反思层次以及生成符合情境的专家级回应，模拟了专家叙事治疗师的行为。,,NO,原始证据未涉及失败案例分析。
93,Has_Longitudinal_Eval,纵向评估,是否包含跨时间/多次会话的纵向评估（YES/NO）,YES,NO,需要进一步的纵向研究来确认叙事转变标记是否可转化为可衡量的福祉结果。,,NO,仅提及未来需要纵向研究，当前评估未包含。
93,Realism,真实性,评估中是否考察输出是否像人类或自然（YES/NO）,YES,NO,INT（交互式叙事治疗师）通过规划治疗阶段、引导反思层次并生成情境适宜的专家式回应，模拟专家叙事治疗师。,,NO,未明确评估输出是否像人类。
93,Sim_Behavior_Realistic,模拟行为真实性,模拟行为是否真实可信（YES/NO）,YES,NO,INT（交互式叙事治疗师）通过规划治疗阶段、引导反思层次并生成语境恰当的专家式回应，模拟专家叙事治疗师。,,NO,未明确评估模拟行为的真实性。
94,Behavior_Eval_Depth,行为评估深度,行为评估深度: Dynamic（分析了行为如何随轮次变化）/ Pattern-level（统计行为频率/模式，不关心变化）/ Static（每轮独立评分，不看轮次间关系）/ None（完全不涉及行为）,STATIC,PATTERN-LEVEL,图3展示了不同方法所获得的策略分布。……我们提出的MultiAgentESC在策略选择上呈现出更均衡和多样化的分布，有效降低了过度依赖有限策略集的风险。Multi中的所有策略……,,PATTERN-LEVEL,分析了策略分布，属于模式级别。
94,Eval_Lay_Users,普通用户评估,非专家/普通用户是否参与评估（YES/NO）,YES,NO,我们提出了一种面向情感支持对话（ESC）的无训练多智能体协作框架（MultiAgentESC）。该框架旨在通过三个阶段模拟类似于人类提供情感支持的过程：对话分析、策略商议和回复生成。,,NO,未提及普通用户参与评估。
94,Eval_User_Study,用户交互实验,是否有结构化实验让用户与系统发生交互（YES/NO）,YES,NO,我们从ESConv数据集的测试集中随机抽取了100个对话，并指示标注者在这些对话场景中扮演求助者的角色。每位标注者的任务是在这100个对话中，将我们的方法生成的所有回答与其他方法生成的回答进行分别比较。,,NO,标注者静态比较，非真实交互。
94,Fidelity,保真度,评估中是否考察是否符合预设角色/目标（YES/NO）,YES,NO,我们提出了一种面向ESC的无训练多智能体协作框架（MultiAgentESC）。该框架旨在通过三个阶段模拟提供情感支持的类人过程：对话分析、策略斟酌与响应生成。,,NO,未明确评估保真度。
94,Reliability_Reported,信度系数报告,"是否报告了标准化评估者间信度系数（如 Cohen's kappa, ICC）: Yes / No / N/A。注意：仅报告百分比一致不算",YES,NO,我们招募了三名具有心理学背景的研究生作为标注员，以评估我们提出的MultiAgentESC框架及其他方法的性能。……符号检验，*表示p值<0.05。,,NO,只报告符号检验，未报告kappa或ICC。
94,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,在没有适当保护措施的情况下，它们可能会生成有害内容。因此，我们的目标是在日常对话中提供情感支持，而不取代专业心理治疗。,,NO,仅背景说明，未实际测试有害输出。
94,Theory_Grounding,理论支撑度,理论支撑度: Strong（明确使用公认理论来定义或测量）/ Weak（提及了概念但未在评估中实际操作化）/ None（没有真正的理论支撑）,STRONG,WEAK,"大多数现有方法倾向于直接生成回复，对社会互依理论（Johnson, 2003）和助人技能理论（Hill and O'Brien, 1999）的关注有限，而这两种理论强调了在提供过程中领域特定推理与专家协作的重要性。",,WEAK,提及理论但未在评估中操作化。
94,Theory_Operationalized,理论操作化程度,理论操作化程度: Strong（评估标准明确源于理论）/ Partial（理论被提及并部分操作化）/ Mentioned（理论仅被提及，未操作化）/ None（没有使用任何理论）,STRONG,MENTIONED,"目前大多数现有方法倾向于直接生成回应，对于社会相互依赖理论（Johnson, 2003）和帮助技能理论（Hill and O'Brien, 1999）的考虑有限，这些理论强调了在提供过程中领域特定的推理和专家合作。",,MENTIONED,仅提及理论，未操作化。
95,Eval_Automatic,自动指标评估,是否使用算法/数学公式自动计算的指标（YES/NO）,YES,NO,表2：由GPT-4O计算的治疗师技能评估得分...表3：由GPT-4O评估的客户联盟评估结果。,,NO,GPT-4O计算技能得分属LLM-as-judge，应归Eval_LLM_Judge。两者互斥 [校验修正]
95,Persona_Model_Depth,用户画像建模深度,用户画像建模深度: 表面人设 / 行为状态模型 / 认知模型 / 动态特质 / 专家原则,COGNITIVE MODEL / BEHAVIORAL STATE,BEHAVIORAL STATE MODEL,我们进一步为每个客户档案添加四种不同的抵抗类型：认知型、情感型、行为型和非抵抗型，遵循Beal III等人（2013）提出的分类法。与为每个档案分配单一抵抗标签不同，我们为每位客户生成四个变体，每个变体包含,,BEHAVIORAL STATE MODEL,证据中抵抗类型分类属于行为状态，认知型仅为子类，未达到认知模型深度
95,Prompt_Disclosure,提示词披露度,提示词披露度: Full（清晰提供了所有必要提示词，原则上可复现）/ Partial（展示了部分提示词，不足以复现）/ No（没有可用的提示词信息）,FULL,NO,治疗师技能采用 Lee 等人（2024a）在官方 COUNSELINGEVAL 代码20中提供的提示进行评估。……各问题的详细评估指南均遵循 Li 等人（2024a）所述，为简洁起见此处不再赘述。,,FULL,引用官方代码包含完整提示，原则上可复现
95,Realism,真实性,评估中是否考察输出是否像人类或自然（YES/NO）,YES,NO,为了指导此类模型的开发与评估，我们定义了两个关键的评估维度，这些维度反映了有效疗法的基本方面：• 治疗师技能评估：评估人工智能治疗师在两大关键类别中的能力，即通用咨询技能和CBT特定技术。,,NO,原始证据未提及真实性评估
95,Safety,安全性,评估中是否涉及避免有害/偏见输出（YES/NO）,YES,NO,为了指导此类模型的开发与评估，我们定义了两个关键评估维度，它们反映了有效治疗的核心要素：• 治疗师技能评估：评估AI治疗师在一般咨询技能和CBT特定技术这两类关键能力上的胜任力。,,NO,原始证据未涉及安全性评估
95,Sim_Behavior_Realistic,模拟行为真实性,模拟行为是否真实可信（YES/NO）,NO,YES,"案例研究表明，MIRRORP+EC通过字幕识别有效识别来访者的情绪状态，并以情感验证¹⁶和开放式问题作为回应，这些是处理阻抗的常见治疗技巧（Miller & Rollnick, 2002）。",,NO,仅描述模型行为，未明确评估模拟行为真实性
95,Simulation_Target,模拟对象,模拟的对象: 来访者智能体 / 治疗师智能体 / 双智能体 / 人类受训者,THERAPIST AGENT,CLIENT AGENT,我们采用GPT-3.5-TURBO12作为虚拟客户端，并基于预定义的多模态配置文件进行仿真模拟。,,CLIENT AGENT,明确使用GPT-3.5作为虚拟客户端
